pn,un_cc_ds,wn_cc_ds,u_pacceoc/cc_ds,w_pacceoc/cc_ds,un_s_ds,w_s_ds,un_eacr_ds,w_eacr_ds,tps
340070,6.666666667,1.666666667,26,6.5,50,12.5,50,12.5,33.16666667
340071,6.666666667,1.666666667,25,6.25,46,11.5,30,7.5,26.91666667
340073,13.33333333,3.333333333,32,8,43.33333333,10.83333333,20,5,27.16666667
340075,23.33333333,5.833333333,30,7.5,85.71428571,21.42857143,30,7.5,42.26190476
340085,5,1.25,19,4.75,36,9,0,0,15
340087,45,11.25,58,14.5,90,22.5,30,7.5,55.75
340090,70,17.5,52,13,40,10,20,5,45.5
340091,53.33333333,13.33333333,26,6.5,30,7.5,50,12.5,39.83333333
340096,10,2.5,46,11.5,36.66666667,9.166666667,60,15,38.16666667
340097,33.33333333,8.333333333,40,10,100,25,10,2.5,45.83333333
340098,30,7.5,39,9.75,42.85714286,10.71428571,20,5,32.96428571
340099,50,12.5,36,9,66.66666667,16.66666667,40,10,48.16666667
340106,50,16.66666667,58,19.33333333,Not Available,Not Available,70,23.33333333,59.33333333
340107,60,15,64,16,66.66666667,16.66666667,30,7.5,55.16666667
340109,16.66666667,4.166666667,29,7.25,90,22.5,50,12.5,46.41666667
340113,40,10,30,7.5,50,12.5,0,0,30
340114,30,7.5,39,9.75,41.42857143,10.35714286,30,7.5,35.10714286
340115,70,17.5,59,14.75,40,10,40,10,52.25
340119,23.33333333,5.833333333,25,6.25,76,19,50,12.5,43.58333333
340120,56.66666667,14.16666667,46,11.5,83.33333333,20.83333333,90,22.5,69
340123,26.66666667,6.666666667,26,6.5,85.71428571,21.42857143,40,10,44.5952381
340126,50,12.5,22,5.5,44.28571429,11.07142857,20,5,34.07142857
340127,26.66666667,6.666666667,44,11,62,15.5,30,7.5,40.66666667
340129,36.66666667,9.166666667,22,5.5,66.66666667,16.66666667,30,7.5,38.83333333
340130,33.33333333,8.333333333,13,3.25,34.28571429,8.571428571,0,0,20.1547619
340131,46.66666667,11.66666667,41,10.25,34.28571429,8.571428571,40,10,40.48809524
340132,30,7.5,12,3,61.42857143,15.35714286,30,7.5,33.35714286
340133,25,6.25,59,14.75,66.66666667,16.66666667,30,7.5,45.16666667
340141,23.33333333,5.833333333,67,16.75,40,10,20,5,37.58333333
340142,16.66666667,4.166666667,77,19.25,68.57142857,17.14285714,40,10,50.55952381
340143,6.666666667,1.666666667,35,8.75,47.14285714,11.78571429,0,0,22.20238095
340144,40,10,22,5.5,92,23,40,10,48.5
340145,53.33333333,13.33333333,53,13.25,76.66666667,19.16666667,10,2.5,48.25
340147,16.66666667,4.166666667,21,5.25,57.14285714,14.28571429,10,2.5,26.20238095
340148,Not Available,Not Available,82,27.33333333,100,33.33333333,40,13.33333333,74
340151,63.33333333,15.83333333,20,5,75,18.75,30,7.5,47.08333333
340155,50,12.5,37,9.25,58.57142857,14.64285714,30,7.5,43.89285714
340158,40,10,38,9.5,62.5,15.625,40,10,45.125
340159,30,10,30,10,Not Available,Not Available,60,20,40
340166,26.66666667,6.666666667,22,5.5,65,16.25,30,7.5,35.91666667
340171,66.66666667,16.66666667,16,4,22.85714286,5.714285714,30,7.5,33.88095238
340173,20,5,17,4.25,40,10,20,5,24.25
340183,63.33333333,15.83333333,17,4.25,56.66666667,14.16666667,10,2.5,36.75
340184,36.66666667,9.166666667,27,6.75,60,15,10,2.5,33.41666667
340186,10,2.5,48,12,53.33333333,13.33333333,50,12.5,40.33333333
350002,36.66666667,9.166666667,33,8.25,42.85714286,10.71428571,70,17.5,45.63095238
350006,16.66666667,4.166666667,14,3.5,45.71428571,11.42857143,20,5,24.0952381
